,#,Question,Options,Answer,Prompt_dif,Prompt ,Response,Unnamed: 7,Response_dif
0,1,Economics is a science which deals with _________.,"a. matters and substance
b. chemicals and reactions
c. human wants and resources
d. numbers and combinations",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Economics is a science which deals with _________.

Answer: a. matters and substance
b. chemicals and reactions
c. human wants and resources
d. numbers and combinations

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Economics is a science which deals with _________.a. matters and substance
b. chemicals and reactions
c. human wants and resources
d. numbers and combinations

###Response
Answer: C",,"###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: 1Economics is a science which deals with _________.

###Response
Answer: a. matters and substance
b. chemicals and reactions
c. human wants and resources
d. numbers and combinations",difficult
1,2,Microeconomics deals with the study of __________ economic entities.,"a. Aggregate
b. Individual
c. Macro
d. Socio",B,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Microeconomics deals with the study of __________ economic entities.

Answer: a. Aggregate
b. Individual
c. Macro
d. Socio

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Microeconomics deals with the study of __________ economic entities.a. Aggregate
b. Individual
c. Macro
d. Socio

###Response
Answer: B",,,medium
2,3,Macroeconomics deals with _________ economic entities.,"a. Aggregate
b. Individual
c. Micro
d. Socio",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Macroeconomics deals with _________ economic entities.

Answer: a. Aggregate
b. Individual
c. Micro
d. Socio

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Macroeconomics deals with _________ economic entities.a. Aggregate
b. Individual
c. Micro
d. Socio

###Response
Answer: A",,,easy
3,4,_________ is an example of Microeconomic theory.,"a. Theory of Consumption
b. Theory of Economic Growth
c. Theory of Money
d. Theory of Income, Employment and Output",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: _________ is an example of Microeconomic theory.

Answer: a. Theory of Consumption
b. Theory of Economic Growth
c. Theory of Money
d. Theory of Income, Employment and Output

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: _________ is an example of Microeconomic theory.a. Theory of Consumption
b. Theory of Economic Growth
c. Theory of Money
d. Theory of Income, Employment and Output

###Response
Answer: A",,,difficult
4,5,___________ is an example of Macroeconomic theory.,"a. Theory of Production
b. Theory of Rent
c. General Theory
d. Theory of Profit",C,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: ___________ is an example of Macroeconomic theory.

Answer: a. Theory of Production
b. Theory of Rent
c. General Theory
d. Theory of Profit

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: ___________ is an example of Macroeconomic theory.a. Theory of Production
b. Theory of Rent
c. General Theory
d. Theory of Profit

###Response
Answer: C",,,easy
5,6,Opportunity costs are ________ measured in monetary terms.,"a. Always
b. Can be
c. Not
d. Never",B,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Opportunity costs are ________ measured in monetary terms.

Answer: a. Always
b. Can be
c. Not
d. Never

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Opportunity costs are ________ measured in monetary terms.a. Always
b. Can be
c. Not
d. Never

###Response
Answer: B",,,easy
6,7,An exogenous variable exists ______ the economic model.,"a. Within
b. Outside
c. Inside
d. In none of",B,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: An exogenous variable exists ______ the economic model.

Answer: a. Within
b. Outside
c. Inside
d. In none of

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: An exogenous variable exists ______ the economic model.a. Within
b. Outside
c. Inside
d. In none of

###Response
Answer: B",,,easy
7,8,________ express functional relationship between two or more variables.,"a. Functions
b. Combinations
c. Programs
d. Limits",A,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: ________ express functional relationship between two or more variables.

Answer: a. Functions
b. Combinations
c. Programs
d. Limits

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: ________ express functional relationship between two or more variables.a. Functions
b. Combinations
c. Programs
d. Limits

###Response
Answer: A",,,medium
8,9,Slope of straight line is _________ at all points.,"a. Different
b. Rising
c. Falling
d. Same",D,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Slope of straight line is _________ at all points.

Answer: a. Different
b. Rising
c. Falling
d. Same

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Slope of straight line is _________ at all points.a. Different
b. Rising
c. Falling
d. Same

###Response
Answer: D",,,difficult
9,10,Graph is a _________ tool used to show the relationship between the variables.,"a. Physical
b. Economic
c. Social
d. Geometrical",D,"###Instruction: 
Provide the difficulty level and categorize into easy/medium/difficult for the multiple choice
question in the input which has only one correct answer. Response should only be 'easy','medium','difficult'

###Input
Question: Graph is a _________ tool used to show the relationship between the variables.

Answer: a. Physical
b. Economic
c. Social
d. Geometrical

","###Instruction: 
Provide the background knowledge in a brief paragraph required for answering the multiple choice
question in the input which has only one answer given in response.

###Input
Question: Graph is a _________ tool used to show the relationship between the variables.a. Physical
b. Economic
c. Social
d. Geometrical

###Response
Answer: D",,,difficult
